"","SN_C1","SN_C2","SN_C3","SN_C4","SN_C5","SN_PD1","SN_PD2","SN_PD3","SN_PD4","SN_PD5"
"ENSG00000000003",571.85,315.219,389.834,584.304,217.081,651.115,401.524,492.588,473.13,581.445
"ENSG00000000005",13,6,1,3,3,8,2,1,11,3
"ENSG00000000419",739,384,466,790,352,654,302,470,623,724
"ENSG00000000457",425.115,238.195,260.008,400.676,211.388,390.69,94.868,311.857,366.611,314.765
"ENSG00000000460",243.755,141.754,142.842,228.552,105.996,264.696,56.77,192.422,249.549,229.388
"ENSG00000000938",505,242,328,695,133,276.999,469.001,382,259,473
"ENSG00000000971",2359.463,1609.223,1687.848,2679.485,536,1276.811,1991.993,2004.18,2902.43,3777.596
"ENSG00000001036",1621,782.001,732.546,1243.327,541.107,1292.223,439.44,1165.188,1188.001,909.359
"ENSG00000001084",2420.62,1916.267,1881.658,2324.807,1141.203,2838.637,1033.803,1949.901,3040.233,2335.828
"ENSG00000001167",1138,726,766,1207,595,1262,626,1012,1162,1025
"ENSG00000001460",475.142,396.586,398.199,682.112,363.479,610.772,262.876,487.315,542.666,523.442
"ENSG00000001461",7720.19,6433.11,6394.909,8796.98,5009.712,9222.684,3553.989,8010.943,8689.231,7460.241
"ENSG00000001497",1707.999,1192,1463,1952,1151.999,1772,881.001,1340,1665,1423
"ENSG00000001561",3108,2347,2255,3049,1434,3858,1120,3176,3731,3403
"ENSG00000001617",467,330,221,717,182,271,554,248,348,549.001
"ENSG00000001626",70,74,77,66,57.103,113,6,35,83.001,31
"ENSG00000001629",3495,2624,2573.999,3774,1931,4172,1539,3003,3912,3494.001
"ENSG00000001630",3500.112,1901.681,2552.394,4511.737,2224.355,4014.714,1900.505,3723.181,3427.471,3316.938
"ENSG00000001631",1239.436,801.149,834.699,1606.436,633.517,1406.026,556.048,1128.797,1359.842,1417.123
"ENSG00000002016",340.115,314.198,490.063,673.741,305.515,692.607,405.119,543.397,574.742,704.188
"ENSG00000002079",3,2,0,4,1,1,1,0,0,0
"ENSG00000002330",1184,727,828.001,1057,552,933,696.001,654,778,810.001
"ENSG00000002549",4778.847,1577.872,1360.984,3697.881,1159.984,2203.943,1282.914,2098.875,2305.944,1835.944
"ENSG00000002586",5059.999,1717.999,4522,5555,2150.001,3164.999,2119,4948.001,4763,4696.001
"ENSG00000002587",219.438,147.203,107.876,183.59,75.237,151.874,151.884,135.195,120.339,204.5
"ENSG00000002726",0,0,4.898,5.856,0,1.073,2.005,2.484,5.053,8.138
"ENSG00000002745",8,9,1,19,2,13,8,5,12,19
"ENSG00000002746",504.434,225.183,261.877,672.535,454.231,481.407,97.515,406.827,412.6,224.561
"ENSG00000002822",697.946,373,420.448,694.824,363.975,553.877,224.999,497.897,551.799,359.864
"ENSG00000002834",4061.599,1820.541,1913.296,3670.489,1872.838,3060.246,2319.641,2456.471,2705.187,2544.26
"ENSG00000002919",739.08,512.006,518.499,876.3,429.176,756.876,442.2,564.257,715.286,682.813
"ENSG00000002933",820,450,456.999,1010,317,640,635.999,436,707.999,669
"ENSG00000003056",3123.816,1488.001,1541.001,2774.002,1263.383,2425.551,1365.997,2019.999,2257.785,2077.727
"ENSG00000003096",651.435,296.002,216,767,338,457.999,110,370,383,217
"ENSG00000003137",417,122,810,669,1033,208,116,619,146.999,153
"ENSG00000003147",448.214,280.763,238.445,483.743,299.858,429.838,52.188,287,373.199,223.942
"ENSG00000003249",759.792,820.893,516.843,1027.874,613.387,894.36,288.124,499.618,636.036,433
"ENSG00000003393",1352.026,728.129,1006.244,1634.011,782,1408.245,586.218,1176.001,1213.558,1212.995
"ENSG00000003400",340.884,138.793,211.897,358.406,151.692,242.677,266.599,232.114,284.722,309.562
"ENSG00000003402",4383.644,2195.007,3137.185,4703.433,2050.84,4221.696,2949.515,3317.538,3707.837,4526.304
"ENSG00000003436",570.751,309.408,307.533,374.538,162.493,263.38,251.622,292.361,526.636,565.608
"ENSG00000003509",507.907,297.396,352.196,660.565,276.948,510.305,235.266,452.364,500.158,469.223
"ENSG00000003756",5548.412,4598.687,5437.956,8605.112,4168.388,7572.51,2919.536,5375.984,7419.639,6623.511
"ENSG00000003987",950,675,766,1178,765.999,1221,189,934,1177.999,642
"ENSG00000003989",831,443,667,1053,246,664.005,416.592,744.001,1004,1162
"ENSG00000004059",2118.653,1248.999,1422.25,2347.863,1285.001,1632.364,802,1345.68,1559.894,1142.89
"ENSG00000004139",984.927,495.071,727.992,949.712,614.824,974.699,349.299,695.755,923.971,734.257
"ENSG00000004142",2091,1292,1358,2086,1154,1769,992,1232,1550,1248
"ENSG00000004399",4428,2117,2704.998,4246,1968.999,3720.001,2439,3052,3961,2627
"ENSG00000004455",2882.496,1447,1509,2592.642,1129.629,2151.56,1119.999,1839.478,2444.001,2047.001
"ENSG00000004468",612.619,347.749,416.612,388.669,233.381,494.449,82.109,196.701,487.412,220.193
"ENSG00000004478",3408,2812,2510.969,8018.998,2916,5930,10247.999,3775.999,4698,8192
"ENSG00000004487",1389,698,846,1551.998,729,1300.001,571.001,995,1211,1085.999
"ENSG00000004534",3537.048,2322.513,3052.365,5713.631,2043.607,5011.253,3570.322,3751.959,3798.531,5052.648
"ENSG00000004660",911.331,475.956,587.821,1078.283,785.194,844.876,236.506,694.13,712.919,453.359
"ENSG00000004700",1194.049,474,516.022,963.571,370.044,812.039,377.017,739.025,891.108,795.58
"ENSG00000004766",926.13,513.005,622.102,1156.147,579.438,1020.04,349.394,731.173,941.782,801.043
"ENSG00000004776",723,730,783.957,1030.96,582.966,707,629,486,795,867
"ENSG00000004777",1498,949,1317.999,1512.001,997.999,1542,553.001,964,1274,968
"ENSG00000004779",1442.999,812,868,1801,791.001,1340,668,977,1165,991
"ENSG00000004799",3685.001,4356,3932.999,4626,1349,4925,3979.999,3827,4312,8936.001
"ENSG00000004809",6,5,4,16.001,3,7.999,3,2,8,9
"ENSG00000004838",97.683,40.303,131.419,128.274,88.711,141.463,154.587,144.428,96.273,208.601
"ENSG00000004846",20.756,11.215,11.466,24.627,3.158,25.29,9.684,20.768,16.14,13.077
"ENSG00000004848",6,10,5,2,4,1,4,3,8,12
"ENSG00000004864",1218,871,1002.999,1022,616.999,1188,240.001,881,1203,836.001
"ENSG00000004866",441.492,273,288.105,584.597,259,371.305,267,330.445,430.397,436.955
"ENSG00000004897",1919.929,899.978,1017.766,1780.796,928.849,1581.786,523,1315.974,1625.296,1408.995
"ENSG00000004939",40.733,68.037,46.157,60.806,13.892,24.705,39.474,34.861,57.907,70.386
"ENSG00000004948",47,11,19,70.999,27,67,8,68,73,22
"ENSG00000004961",382,205,207,504,214,372,229,295,366,319
"ENSG00000004975",866.667,510.02,672.763,909.405,462.007,911.493,487.624,678.75,792.43,716.323
"ENSG00000005001",1,0,0,0,1,0,0,0,2,0
"ENSG00000005007",2718,1864,2047,3137.999,1502,2958.999,1601,2366.999,2649.999,2442.999
"ENSG00000005020",1173.158,487.492,658.526,1170.629,477.018,855.194,450.457,1025.438,973.196,903.594
"ENSG00000005022",4985.987,2820.977,2664.969,5442.954,2432.997,4037.917,2331.97,3025.965,3804.963,2701.794
"ENSG00000005059",483.999,74,121,158,47,127,80,97,131.001,122.999
"ENSG00000005073",1,0,1,0,0,0,0,0,0,0
"ENSG00000005075",1013.531,613.917,726.178,948.346,444.969,831.809,759.213,662.301,801.701,794.861
"ENSG00000005100",785.216,497.074,533.141,835.954,395.754,732.89,259.483,603.263,733.854,659.997
"ENSG00000005102",0,0,0,0,0,0,0,0,0,0
"ENSG00000005108",818,429,518,961,426,942,371,595,881,810
"ENSG00000005156",701.07,379.311,488.641,773.052,437.15,715.489,277.472,538.313,693.742,567.112
"ENSG00000005175",904.666,450.976,505.485,969.101,431.156,875.648,320.473,793.347,814.212,813.71
"ENSG00000005187",35.864,44.637,31.412,56.569,16.102,29.036,21.828,32.403,42.909,38.967
"ENSG00000005189",67.128,40.094,43.301,98.171,35.031,62.876,17.014,64.964,67.015,44.585
"ENSG00000005194",952.001,518.999,539,1124,605,809.999,356,633.001,735.001,560
"ENSG00000005206",1914.291,1135.864,1663.77,1952.235,1182.495,2147.094,705.935,1552.869,1675.304,1254.323
"ENSG00000005238",1417,875,950,1120,702,985,450.001,719,1109,680.001
"ENSG00000005243",273,149,187,271,100.999,217,120,183.001,194.001,170
"ENSG00000005249",1036,471,536,1037,427,856,280,663,886,720
"ENSG00000005302",978.818,550.361,586.291,1122.381,462.958,927.008,590.882,830.934,892.608,941.916
"ENSG00000005339",1882.986,1176.501,1478.092,2129.674,988.779,2276.539,1699.343,1760.279,1845.189,2135.676
"ENSG00000005379",1689.012,1186.826,1265.093,1912.453,1243.168,1937.405,596.099,1154.484,1618.956,1097.808
"ENSG00000005381",38,24,66,39,40,35,4,25,35,15
"ENSG00000005421",24.022,18.992,19.039,16.017,12.182,18.116,10.019,12.124,15.721,12.265
"ENSG00000005436",406,224,274.997,410,195,388.003,120.999,311.682,449.999,386.001
"ENSG00000005448",269.827,152.361,185.781,308.607,178.795,233.287,102.938,231.175,230.9,159.649
"ENSG00000005469",406,197,256,385,176.001,336,121,268,327.001,290.051
"ENSG00000005471",58.457,29.181,43.316,27.151,39.298,26.156,14.098,51.432,54.398,42.018
"ENSG00000005483",2925.004,2216.999,2339.999,3657.933,1580.001,3502,2349.001,2672.001,3339.115,3869
"ENSG00000005486",3293,2126.999,2195,4353,2550.999,3095.999,1354,2127,2696,2065.001
"ENSG00000005513",3535,3401,4190,4789,2663,4759,2338,3522,4803,3928
"ENSG00000005801",815.653,376.579,418.576,733.852,349.002,569.563,277.882,583.182,621.506,669.752
"ENSG00000005810",5133,2850,3653.913,6472.999,3777.001,6447.999,2487,5654,5420.001,4798
"ENSG00000005812",2113,1279.001,1358,2178.997,1031.157,2114.62,1080.001,1899,2158.232,2353.176
"ENSG00000005844",417.139,110.014,163.993,280.281,137.21,252.021,232.99,489.111,204.311,240.06
"ENSG00000005882",1534,1183.322,1221.001,1609.983,936,1552.001,550.001,1120,1390.999,1014
"ENSG00000005884",1104.908,455.686,483.685,1167.622,502.026,709.37,325.365,570.737,642.369,621.591
"ENSG00000005889",1244.806,753.246,559.299,887.682,347.187,1298.105,709.051,672.096,842.884,975.082
"ENSG00000005893",13821.273,9409.334,9208.684,14304.982,5709.404,17786.511,8465.548,13552.719,16526.153,16845.042
"ENSG00000005961",99.827,72.962,93.748,97.179,62.915,117.172,44.44,73.492,91.132,96.328
"ENSG00000005981",293.24,117.756,171.996,245.111,80,132.764,88.534,191,229.996,176.001
"ENSG00000006007",2998,2124.999,2048.985,3346.796,1504.001,3367.999,1863,2683.786,2959.967,2834.998
"ENSG00000006015",1227.943,733.448,829,1340.562,696.63,1016.405,383.425,758.877,864.008,590.312
"ENSG00000006016",58.067,37.277,121.127,60.018,58.432,30.065,42.105,44.023,61.024,124.249
"ENSG00000006025",556.001,359.999,548,722.001,385.001,845,427,602,577.999,597.001
"ENSG00000006042",1982.288,2121.994,2575.551,3705.505,1685.04,3247.776,1455.47,2799.381,3376.229,2996.435
"ENSG00000006047",9,8.277,8,24,11,25,21.001,6,19,12
"ENSG00000006059",1.028,1,1,0,0,1,1,0,0,0
"ENSG00000006062",450.098,286.466,246.922,583.879,231.454,363.798,207.646,288.361,406.821,291.24
"ENSG00000006071",451.001,265,369.999,630.998,534.001,693.001,133,218.001,464.001,287
"ENSG00000006116",145,38,47,167,88,147,22,104,113,88
"ENSG00000006118",2658.174,2007.2,2081.94,3323.207,1801.993,3023.595,2673.899,1640.991,2380.528,2052.942
"ENSG00000006125",9660.985,5972.994,5916.002,10418.998,5474.993,10097.984,4270.001,7128,8585.93,7368.001
"ENSG00000006128",627.001,130,347,1065,678,854,134,413,665.001,633
"ENSG00000006194",885.999,516,546.52,969.001,484.001,892.846,608.575,647.663,771,766.999
"ENSG00000006210",1174.64,784.92,737.1,1723.065,962.208,1292.469,561.738,872.269,1193.675,752.901
"ENSG00000006282",1212,875,1183.461,1836,951.999,1560.786,350,1173,926.282,881
"ENSG00000006283",582.001,720.001,186.409,727.047,337,966.967,170.002,224.444,751,310.001
"ENSG00000006327",813,71,56,211.001,93,88,115,128,95,118
"ENSG00000006377",2,6,1,2.002,1,1,0,1,3,1
"ENSG00000006432",1236.341,663.657,650.693,1601.683,1170.405,1354.491,303.581,1041.695,1054.858,661.185
"ENSG00000006451",1638.001,1131,1104,1751,795,1807,1015,1543.998,1694,1985
"ENSG00000006453",64.884,38.25,42.207,89.961,27.147,69.756,62.45,30.301,53.486,57.888
"ENSG00000006459",905,590.007,569.999,976,462,784,355,719,1039,945.001
"ENSG00000006468",525,465.999,436,757,336,787.999,401,443,628.999,694.999
"ENSG00000006530",672.919,251.201,335.303,800.461,330.935,560.728,154.789,517.741,433.747,337.033
"ENSG00000006534",484.99,288.124,424.338,499.066,188.803,366.991,229.402,301.85,427.877,311.569
"ENSG00000006555",26.541,12.113,22.408,36.962,18.002,19.703,9.885,31.216,24.461,26.091
"ENSG00000006576",637.616,396.797,419.767,670.069,289.037,732.347,203.235,515.273,678.692,576.667
"ENSG00000006606",7,5,5,6,1,2,18,1,2,14
"ENSG00000006607",1489.771,815.151,937.362,1423.936,736.067,1349.91,409.951,1224.964,1439.266,1026.514
"ENSG00000006611",677.999,1161,1680.001,1710.998,724,1219,231,654,1349.999,801.001
"ENSG00000006625",971.171,411.132,351.137,769.975,302.449,536.106,289,381.646,579.977,535.754
"ENSG00000006634",94,44.001,55.068,125.005,35.091,81.443,48.167,56.084,55,115.989
"ENSG00000006638",81.161,47.008,40.297,86.851,33.587,65.071,55.302,67.637,79.53,103.977
"ENSG00000006652",1695.993,986,1310.999,2148.165,712.041,1801.08,2068.156,1334.8,1656.101,2806.415
"ENSG00000006659",1,0,0,1,3,1,0,0,0,0
"ENSG00000006695",216.709,135,146,296,145,212,110,162,169,156
"ENSG00000006704",742.287,424.079,443.402,778.832,341.955,723.119,373.733,458.619,764.153,614.019
"ENSG00000006712",2443.999,1698,1867,2868.999,1450.001,2529,1465.001,2241,2239,1740
"ENSG00000006715",3258.647,1880.91,2202.102,3284.768,1792.177,3460.89,1460.588,2531.353,3130.961,2835.275
"ENSG00000006740",1283.304,858.665,719.41,1984.255,1054.565,1508.603,403.829,1126.767,1224.128,837.243
"ENSG00000006744",1548.682,1008.731,1032.838,1705.888,952.377,1325.188,559.211,1097.033,1150.55,798.113
"ENSG00000006747",2841.667,405.46,417.372,1341.11,286.582,830.47,605.757,1590.541,1008.306,887.906
"ENSG00000006756",599.799,279.233,357.236,474.382,207.011,404.277,213.689,290.603,428.337,340.664
"ENSG00000006757",639.215,477.148,387.57,611.349,283.494,702.633,258.956,318.759,456.455,344.085
"ENSG00000006788",6,0,0,8.028,9,20.084,2,2.007,3.011,4.014
"ENSG00000006831",7661,7746.001,7497,9936.001,4251,10739,7211.001,8529,9233,12368
"ENSG00000006837",172.518,112.934,139.455,247.121,88.437,211.677,121.018,163.318,211.992,233.805
"ENSG00000007001",25,22,23,25,20,42.001,15,31.155,22,38
"ENSG00000007047",1249.983,907.079,862.245,1742.114,924.048,1375.832,700.707,944.094,1140.038,936.638
"ENSG00000007062",181,132,263.001,222,174,201.001,152,173.001,235.999,279.999
"ENSG00000007080",1837.63,1272.924,1399.572,2014.701,1012.662,1732.872,1485.575,1366.99,1383.504,1445.536
"ENSG00000007129",147.924,42.001,37,144,52,89.001,42,109.999,83,74.001
"ENSG00000007168",10452.543,5850.501,6496.347,12092.345,6926.22,10893.283,3465.69,8621.268,10648.821,7758.989
"ENSG00000007171",42,22.309,41,76.979,39,42,11,31,43,34
"ENSG00000007174",447.229,366.831,570.167,536.506,299.514,546.669,155.849,411.478,369.229,582.204
"ENSG00000007202",5018.02,2559.036,3293.027,5653.012,3205.999,5201.002,2634.619,4144.001,4310.722,3415.052
"ENSG00000007216",0,0,0,0,0,0,0,0,0,0
"ENSG00000007237",10157.978,9633.269,10086.006,12632.69,6704.506,13257.742,5257.096,7940.324,13076.553,10257.518
"ENSG00000007255",371.999,292,418.001,502.001,240,394,177.001,253,402.999,220.999
"ENSG00000007264",307.658,172.001,206.162,528.54,300,409.871,101.011,237.265,307,246.052
"ENSG00000007306",0,0,0,0,0,0,0,0,0,0
"ENSG00000007312",18,10,13,18,7,4,11,19.001,9,18
"ENSG00000007314",13,6,9,9,11,9,2,16,6,8
"ENSG00000007341",403.097,244.963,307.928,468.388,250.743,416.717,177.512,350.374,437.516,398.422
"ENSG00000007350",23,1,3,8,6,5,9,5,8,10
"ENSG00000007372",336.998,303.001,436.999,465,241,527,473,366,354.001,448.001
"ENSG00000007376",294,211.001,177,315,193.001,320.001,237,226.001,224.001,230
"ENSG00000007384",376.999,240.001,282,461,174,221,234.999,227.999,247.99,263.001
"ENSG00000007392",1849.35,1381.776,1683.767,2732.658,1035.989,1990.706,988.278,1623.739,2035.934,2002.295
"ENSG00000007402",791,325,405.999,973,713,1020.001,177,504,848,428
"ENSG00000007516",1620,659.999,1262,3017.998,1879,3105,729.001,1354.999,2459,1297
"ENSG00000007520",1259,702,771,1129,558,1001,756,739,767,767
"ENSG00000007541",998.304,676.541,908.801,1013.05,540.65,1042.707,356.274,640.725,826.148,648.137
"ENSG00000007545",832.186,489.403,731.141,979.503,516.107,1030.44,540.177,779.154,885.16,799.744
"ENSG00000007866",215,133.53,89,240,48,104.553,99,123,192,198
"ENSG00000007908",450,38,10,354,17,61,238,39,43,21
"ENSG00000007923",1391.912,827.998,970,1470,853,1355,581.001,998.001,1219.001,949
"ENSG00000007933",36.464,71.835,51.405,72.245,18.389,49.642,50.559,48.897,56.409,106.526
"ENSG00000007944",799,600,666,867,439,1039,506,832,959,971
"ENSG00000007952",1,1,2,0,2,1,0,0,1,0
"ENSG00000008018",2761.821,1525.232,1487.812,2744.682,1292,2189,1236,1602.714,2065,1937
"ENSG00000008056",2411,1245,1357,3644,2280,2725,449,1841,2105,1115
"ENSG00000008083",983,679,777,1073,544,998,592.999,819,948.001,924
"ENSG00000008086",1152.286,1036.762,1032.965,1438.301,1183.398,1594.975,425.978,902.483,1307.761,1175.845
"ENSG00000008118",184,75,133,258,183,210,36,147,159,110
"ENSG00000008128",892.087,463.212,879.47,1094.747,507.219,925.233,952.816,676.93,800.14,1223.942
"ENSG00000008130",1409.497,807.014,980.977,1531.888,566.234,1344.93,1006.988,1075.025,1104.45,1338.058
"ENSG00000008196",108,4,54,297,114.001,432,58,12,477,279
"ENSG00000008197",15,3,9,86,26,53,4,10,41,30
"ENSG00000008226",136.188,107.266,226.075,187.085,119.069,174.001,95.264,108.377,210.012,201.607
"ENSG00000008256",959.999,609,734,950.001,598,1083,572,905,889.999,771.001
"ENSG00000008277",2168,1548.001,1591,2889.001,1800,3080.001,762,2273,2527.999,1953.001
"ENSG00000008282",3573.003,2902.989,3162.421,3968.808,1785.999,4004,1743.986,3304.026,4157.995,4510.613
"ENSG00000008283",898.706,378.759,436.845,917.025,617.968,584.441,175.115,405.397,702.264,429.947
"ENSG00000008294",9937.568,8058.072,8861.171,13343.448,6298.689,13875.317,5649.189,10866.784,12591.559,11445.026
"ENSG00000008300",828.001,409,520,972,553,903.999,462,760,793,593
"ENSG00000008311",1502.254,811.229,1132.076,1476.111,664.834,1227.733,295.514,1123.4,1526.019,1113.918
"ENSG00000008323",11.971,2.078,6.001,11.043,6.253,10.162,4.885,3.928,6.002,7.553
"ENSG00000008324",425.002,311,267.98,559.341,198.999,461.494,311.039,377.001,429.476,488.267
"ENSG00000008382",414.999,300.999,307,492.001,316,373,181.001,280,347,211
"ENSG00000008394",3606.075,1455.657,2024.356,2251.025,640.035,1839.745,2137.529,1368.28,1980.314,3045.05
"ENSG00000008405",753,488,508,964,319.001,845,560,737,907.999,1129
"ENSG00000008438",2,1,2,10,1,1,1,6,2,1
"ENSG00000008441",5715.999,5097,5470.999,6238.713,4017.765,7412.312,2820.65,4764.006,7024.32,5770.742
"ENSG00000008513",1051.309,423.125,505.335,1044.796,429.95,514.334,645.449,625.423,680.56,695.194
"ENSG00000008516",77.999,27,64.001,95.999,24,23,35,53,30,81.999
"ENSG00000008517",461.245,95.62,122.136,425.279,143.324,182.625,548.033,184.267,201.572,242.525
"ENSG00000008710",5305.391,2634.45,3791.336,5971.976,4134.478,5456.617,2724.325,3993.239,4996.043,3872.701
"ENSG00000008735",4089.24,2364.634,3129.681,5315.123,3764.864,3732.16,1425.713,3316.213,3099.064,2197.133
"ENSG00000008838",1615.416,868.768,1019.249,1591.447,815.707,1358.369,812.997,1041.023,1207.997,972.417
"ENSG00000008853",1434.999,1101,1013.001,1797.999,856.956,1524.001,863,1222.999,1323,1027
"ENSG00000008869",1608.48,752.028,926.226,1620,903.487,1596.278,490.525,1423,1481.952,1174
"ENSG00000008952",11169.183,8865.719,8506.125,13142.062,5662.427,11420.267,6203.346,8912.019,12120.183,13079.183
"ENSG00000008988",11071.799,6327.365,6711.211,9682.494,4443.834,7472.674,6773.28,7885.958,8210.059,8573.857
"ENSG00000009307",15758,10631.991,10665.992,17893,8479,15973.99,8898.989,13361.994,17331.962,16128.971
"ENSG00000009335",2040.731,1072.21,1174.078,2181.156,1028.456,1758.42,838.59,1495.491,1685.752,1649.429
"ENSG00000009413",1544.546,733.883,1056.421,1625.257,783.687,1543.372,583.767,1032.804,1667.628,1351.146
"ENSG00000009694",601,227,291,653,407,716,101,475,620.003,375
"ENSG00000009709",73,25,54,151,86,258,25,33,259,75
"ENSG00000009724",16.822,10.439,17,24.927,12.929,20.073,14.983,12.766,17.757,10.201
"ENSG00000009765",18.795,21.763,28.423,50.626,34.705,40.114,27.99,37.194,40.143,49.472
"ENSG00000009780",444.915,284.726,324.683,472.806,242.922,486.604,151.937,360.554,443.173,455.056
"ENSG00000009790",237.001,55.999,103,174.101,83,214.999,87.999,278.175,165.001,157
"ENSG00000009830",1176.688,906.051,935.39,1438.696,656.467,1338.799,738.097,1010.886,1308.229,1172.801
"ENSG00000009844",1207.351,748.209,777.255,1505.212,676.213,1283.57,555.582,977.938,1253.63,1166.298
"ENSG00000009950",742.682,280.601,426.023,768.655,408.605,530.478,275.694,600.691,461.225,406.324
"ENSG00000009954",3909,2482,2746,4007,1925,3710,2577,3248,3764,4112
"ENSG00000010017",2298,1226,1224,2623,1191,1899,961,1803,1769,1604
"ENSG00000010030",47,5,5,28,10,15,10,17,17,10
"ENSG00000010072",343,189,231.999,309.092,161,298,130.001,277.001,288.999,293
"ENSG00000010165",910,531.999,660.001,1073,531.999,1016,487,792.999,848,714
"ENSG00000010219",581.998,310.999,362.999,600.999,305,532.001,265.822,406.001,472,457
"ENSG00000010244",3795.392,2245.983,2371.066,4155.228,1824.589,3810.623,1766.213,2846.013,3792.597,3603.593
"ENSG00000010256",4317.001,2823,2630.001,5269.999,2851.999,4072,1764.001,3256.001,3362.001,2146
"ENSG00000010270",1655.602,852.001,954.318,1742.999,764.916,1452.188,764,1167.003,1437.01,1414.001
"ENSG00000010278",5674,3836.001,3615,5918.001,2328,5175,2326,3788,5900,4486.001
"ENSG00000010282",5556.764,5745.566,7059.236,9705.517,4133.906,10115.843,3214.999,7159.998,9981.779,8183.565
"ENSG00000010292",1334.923,974.458,1044.585,1497.68,627.766,1466.164,781.109,1144.477,1330.119,1244.521
"ENSG00000010295",1503.625,689.493,900.069,1366.05,790.533,1085.082,507.887,893.3,1086.588,720.535
"ENSG00000010310",390.725,210.536,299.059,761.005,190.967,958.683,507.945,1829.94,518.748,319.745
"ENSG00000010318",187.306,120.003,149.034,193.03,101.267,184.004,66.191,164.414,207.616,116.303
"ENSG00000010319",784,506,781,1145,575,895,567,528,768,496
"ENSG00000010322",3812.183,2545.979,2989.83,4841.03,3067.307,4723.411,1929.212,2953.581,3955.686,2799.975
"ENSG00000010327",4913,1022.999,945.001,3742,907.999,1300.999,3132,1209.001,1477,1501
"ENSG00000010361",746.766,711.999,754.357,979.826,426.744,1030.018,388.193,683.794,841.02,684.181
"ENSG00000010379",93,179.001,157,215.999,58,196,61,148.999,213.001,156.999
"ENSG00000010404",15978.012,8375.837,9299.386,18440.432,10097.109,17498.237,4322.043,12444.043,16873.369,11472.243
"ENSG00000010438",82,50,129,207,116,89,37,83,85,58
"ENSG00000010539",228.691,119.215,154.144,297.548,137.488,223.38,151.334,272.622,232.097,240.264
"ENSG00000010610",1267,352,488,895.001,398,689.999,595,869,739,560
"ENSG00000010626",459.989,385.666,494.435,635.041,280.55,552.764,345.361,422.071,493.466,536.568
"ENSG00000010671",470,96,146.001,315.999,114,209,153,255.001,237,210.001
"ENSG00000010704",224.405,97.27,129.516,194.368,75.599,170.37,95.675,148.253,197.352,168.023
"ENSG00000010803",622.001,390,351,665,310,519,266,343,504.999,452.999
"ENSG00000010810",4202,3187,3658.999,5120.998,2146,4659,3098,3665.003,4045,4172
"ENSG00000010818",1896,1056,1008,2247,1113,1930,710.001,1301.001,2035,1422.999
"ENSG00000010932",7,5,5,6,3,10,5,7,5,8
"ENSG00000011007",1184.999,637,734,1313,562,1123,618.001,850,1120.693,960
"ENSG00000011009",653,428.999,397,813,360,567,410.999,435.947,504.001,460
"ENSG00000011021",3344.705,1670.671,1979.869,3692.895,2152.081,3341.855,1434.188,2848.776,2889.902,2339.706
"ENSG00000011028",893,311,538.999,587.001,355,725,385.001,733.001,654.999,459
"ENSG00000011052",285.781,85.884,117.229,239.462,17.101,107.385,92.044,54.264,144.611,145.245
"ENSG00000011083",246,214,76,351,187,392,61,138,289,149
"ENSG00000011105",558,420,345,759.001,360,515,433,372,484,463.001
"ENSG00000011132",354.411,226.636,316.861,525.602,224.999,440.184,317.642,343.714,438.546,424.895
"ENSG00000011143",319.001,233.001,317,428,227,389.999,145.999,275,348,272
"ENSG00000011198",596.105,485.012,413,643,247,613,426,426,521,731.653
"ENSG00000011201",905,383,585.607,1263.563,544.718,956,272,673.682,1088.338,852.019
"ENSG00000011243",2038.949,1254,1589.001,2801,1062.002,2220.001,1718.966,1704,1926,1912.982
"ENSG00000011258",638.054,385.375,505.441,599.594,323.632,662.862,215.608,508.737,720.168,712.408
"ENSG00000011260",1022.99,495.999,505.001,1124,533,909,401,783,853,707.998
"ENSG00000011275",1751.386,911.681,1132.959,1688.625,767.064,1525.234,927.199,1243.901,1426.483,1367.15
"ENSG00000011295",1543.131,959.67,986.34,1693.004,845.906,1412.807,455.965,1122.331,1491.775,1061.258
"ENSG00000011304",2347,956.002,1099.001,2147,745.001,1623.001,1466.999,1447.999,1426,1841.001
"ENSG00000011332",359.191,233.2,222.346,395.63,205,356.749,238.052,211.384,389.085,277.266
"ENSG00000011347",865,780.001,355.999,1211,698.999,1145.999,249.999,517,850,363
"ENSG00000011376",1000.001,600,693,1087.005,612.242,1028.025,512,699.064,733.999,630.001
"ENSG00000011405",2691.736,1857.438,2137.615,2933.674,1284.427,3173.349,1065.136,2678.647,2899.28,2963.267
"ENSG00000011422",895.706,183.676,120.872,430.195,87.68,145.822,175.164,118.911,237.246,188.815
"ENSG00000011426",11464.999,11248,11175,15146.998,7442.001,18807.001,7593,15156.001,17447,19045
"ENSG00000011451",1079.188,683.147,736.259,1029.049,485.767,927.022,631.132,765.563,766.148,734.171
"ENSG00000011454",3246.515,2397.349,2632.018,3850.47,1964.04,3757.946,1495.053,2625.357,3580.015,3053.424
"ENSG00000011465",3177.051,1887.128,1659.017,4167.045,839.522,1802.638,2170.197,2284.936,2679.42,3710.693
"ENSG00000011478",300.004,169.542,214.983,344.059,170.39,306.27,145.361,211.738,237.288,226.715
"ENSG00000011485",1837.008,1059.751,1250.787,2172.849,1213.052,1780.504,998.776,1419.752,1528.092,1286.466
"ENSG00000011523",1325.357,822.112,994.101,1416.932,740.698,1398.433,355.438,1100.09,1369.956,1079.518
